cityname,countyname,name,pop2000,popdes,labdens,averageemployment,empdensavgemparea,medhhinc99,auto_ms,origlinks,orignodes,simplinks,simpnodes,javalinks,javanodes,cycno_u,alpha,beta,gamma,eta,branchness,circuitness,completeness,completeness*103,netwdist,eucldist,cnt_od_pairs,circuity,ent_h,ent_len,ptagefwy,nonlocal_meters,local_meters,totfwy_meters,totrdwy_meters,area_km2,stdens_km2,a10_a19,a20_a29,a30_a39,a40_a49,a50_a59,a60_a69,a70_a75,a_other,l10_a19,l20_l29,l30_l39,l40_l49,l50_l59,l60_l69,l70_l75,l_other,dvmt,centline_mi,avg_veh_mi_pday,dvktpercap,aggtt,no_wrks,avg_tt,spd_ph3_mp,spd_ph3_md,spd_ph3_ap,xcoord,ycoord,cblk_p,cblk_a,avgcblka,p2a,accessibility_mp_pop,accessibility_mp_labor,accessibility_mp_emp,pop_l1n1_p20,pop_l1n1_p30,lab_l1n1_l20,lab_l1n1_l30,emp_l1n1_j20,emp_l1n1_j30,pwa_l1n1_p20,pwa_l1n1_p30,pwa_l1n1_l20,pwa_l1n1_l30,pwa_l1n1_j20,pwa_l1n1_j30,_merge,dtwnmplstaz,mplsxcoord,mplsycoord,dtwnsplstaz,splxcoord,splycoord,dtwnmplsdist,dtwnspldist,dtwnmplsdist_km,dtwnspldist_km,theta (dvkt/simpnodes)
Marine on St Croix City,Washington,Marine on St. Croix City,602,56,24.27273,244,22.63586,66250,0.82,127,112,103,88,206,88,16,0.0935673,1.170455,0.3992248,0.26052,0.6728766,0.3271234,0.013454,=X99*1000,28809882,19146307,12500,1.5,0.76,0.89,0,4548.9,22284.66,0,26834,11,2,0,0,11,87,0,0,5,0,0,0,4549,21209,0,0,1076,0,18557,14,17946,48,7860,267,29.4382,29.35012,29.35012,29.35012,517399.4,5004999,82.14149,10.77936,0.2763937,7.620259,43221.33,19169.59,17518.28,43879780,143800000,11348501,41776860,4446200,22800000,72890,238906,39960,147102,18920,97116,3,402,478480,4980091,816,492625,4977029,46207.43,37364.3,46.20742,37.3643,=(BF99*D99)/N99
Marshan Township,Dakota,Marshan Township,1263,14,6.366667,203,2.260899,62171,0.83,177,147,138,108,276,108,31,0.1469194,1.277778,0.4339623,0.9720382,0.1365193,0.8634807,0.011942,=X100*1000,86241739,62330676,12400,1.38,0.83,0.65,0,9132.56,125008.7,0,134141,90,1,0,11,0,116,0,1,10,0,0,9133,0,117950,0,72,6987,0,0,0,96027,122,14230,573,24.83421,28.8124,28.8124,28.8124,511631,4946532,265.3297,89.7873,1.402927,2.955092,12408.05,5629.305,1994.326,108900000,733700000,31916653,221900000,5430680,38600000,60437,407175,32808,228064,24685,175240,3,402,478480,4980091,816,492625,4977029,47171.98,35934.59,47.17198,35.93459,=(BF100*D100)/N100
May Township,Washington,May Township,2928,30,14.9596,47,0.4768371,80374,0.86,268,249,211,192,422,192,20,0.0527705,1.098958,0.3701755,0.6564994,0.4140829,0.5859171,0.0057540000000000004,=X101*1000,107065779,71610026,12500,1.5,0.39,0.31,0,6348.49,132172.9,0,138521,99,1,0,0,12,197,0,0,2,0,0,0,6348,131535,0,0,638,0,0,0,74888,41,45370,1481,30.63471,27.81195,27.81195,27.81195,513346.1,5001099,420.8105,98.56615,0.9663348,4.26932,20909.33,10576.07,335.6348,263600000,834000000,78026735,268500000,1214600,4454160,90019,284827,49290,169627,30365,111354,3,402,478480,4980091,816,492625,4977029,40705.77,31760.11,40.70577,31.76011,=(BF101*D101)/N101
Mayer City,Carver,Mayer City,554,236,143.5,88,37.41902,48125,0.84,86,77,68,59,136,59,10,0.0884956,1.152542,0.3976608,0.1471273,0.5080772,0.4919228,0.019871,=X102*1000,5132962,3802519,7363,1.35,0.82,0.93,0,1318.06,8686.59,0,10005,2,4,0,0,9,56,0,0,3,0,0,0,1318,7928,0,0,759,0,3694,3,4256,12,8120,287,28.29268,26.95,26.95,26.95,429383.6,4970616,38.1535,2.351745,0.0653263,16.22348,190999,98947.15,30339.2,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,50002.3,63565.7,50.0023,63.5657,=(BF102*D102)/N102
Medicine Lake City,Hennepin,Medicine Lake City,368,383,221,0,0,70750,0.82,14,14,10,10,20,10,1,0.0666667,1,0.4166667,0.260946,0.7690595,0.2309405,0.111111,=X103*1000,7124677,6232035,12500,1.14,0,0,0,0,2609.46,0,2609,1,3,0,0,0,10,0,0,0,0,0,0,0,2609,0,0,0,0,963,2,963,4,4460,221,20.181,25.38474,25.38474,25.38474,466901.7,4983027,14.95526,0.9617818,0.1202227,15.54954,383736.9,230450.7,0,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,11944.77,26413.35,11.94477,26.41335,=(BF103*D103)/N103
Medina City,Hennepin,Medina City,4005,57,27.31429,3229,46.02621,88847,0.9,422,387,341,306,682,306,36,0.0593081,1.114379,0.3739035,0.4222462,0.3825117,0.6174883,0.003654,=X104*1000,72019323,51818890,11717,1.39,0.82,0.9,0,10841.37,133144.6,0,143986,70,2,0,1,13,282,0,0,45,0,0,741,10100,117298,0,0,15847,0,208294,66,209300,84,47635,1912,24.9137,27.26134,27.26134,27.26134,454047.3,4986747,339.3106,70.15568,0.5438424,4.836539,44678.64,21329.73,36021.81,1310000000,5208000000,417500000,1666000000,870300000,3560000000,286408,1138430,178266,711152,222310,908836,3,402,478480,4980091,816,492625,4977029,25323.08,39782.88,25.32308,39.78288,=(BF104*D104)/N104
Mendota City,Dakota,Mendota City,197,252,77,248,317.3264,45938,0.88,72,70,59,57,118,57,3,0.0275229,1.035088,0.3575757,0.1118362,0.5130872,0.4869128,0.018484,=X105*1000,6394951,3742788,11470,1.71,0.84,1.16,0,876.89,5721.45,0,6598,1,8,0,0,4,48,0,0,6,1,0,0,877,4719,0,0,991,12,5532,3,5323,43,1455,77,18.8961,30.59938,30.59938,30.59938,487284,4970465,23.93703,0.7815298,0.0211224,30.62843,164456,64279.74,207030.9,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,13045.28,8462.817,13.04528,8.462817,=(BF105*D105)/N105
Mendota Heights City,Dakota,Mendota Heights City,11434,440,209.1538,8479,326.0294,81155,0.9,1019,829,875,685,1750,685,191,0.1399267,1.277372,0.4270376,0.192509,0.2020599,0.7979401,0.001868,=X106*1000,55353480,38950709,12350,1.42,0.92,1.16,7.24,25883.84,142561.5,12200,168445,26,6,26,0,61,737,0,21,30,0,12200,0,13684,132028,0,5076,5458,0,747640,84,754632,106,104985,5438,19.30581,28.8761,28.8761,28.8761,488938.9,4969790,343.9464,26.00686,0.0922229,13.22522,369246.1,175613.1,273818.3,15820000000,27720000000,4378000000,7481000000,9101000000,14100000000,1299624,2276205,719419,1229256,1015197,1573276,3,402,478480,4980091,816,492625,4977029,14679.92,8123.434,14.67992,8.123434,=(BF106*D106)/N106
Miesville City,Dakota,Miesville City,135,30,15,103,22.89056,53750,0.75,17,17,16,16,32,16,1,0.037037,1,0.3809524,0.3566432,0.9052238,0.0947762,0.066667,=X107*1000,12455872,10272199,12500,1.21,1.37,1.49,0,2408.53,3297.76,0,5706,4,1,0,9,0,2,0,0,5,0,0,2409,0,2294,0,0,1004,0,12006,3,11732,140,1300,60,21.66667,37.25265,37.25265,37.25265,514317.7,4938424,21.76848,4.499671,0.5624589,4.837794,57601.46,25600.65,43947.78,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,54958.88,44282.26,54.95888,44.28226,=(BF107*D107)/N107
Minneapolis City,Hennepin,Minneapolis City,382618,2536,1304.735,308758,2046.067,37974,0.67,14428,8746,13264,7582,26528,7582,5683,0.3748928,1.749406,0.5832894,0.1408899,0.0298389,0.9701611,0.000231,=X108*1000,98776064,85420056,12500,1.16,0.49,0.53,2.82,89491.86,1779271,52615,1868763,151,12,288,104,162,12381,0,307,22,0,52615,12443,24434,1728131,0,49011,2129,0,6891841,,6838040,29,4279480,197015,21.72159,26.36555,26.36555,26.36555,478917.9,4978826,3957.358,150.9032,0.0249716,26.22448,2681295,1380634,2163702,530000000000,956600000000,159700000000,278500000000,387100000000,517000000000,1388004,2505275,784003,1367083,1259700,1682888,3,402,478480,4980091,816,492625,4977029,1339.134,13824.29,1.339134,13.82429,=(BF108*D108)/N108
Minnetonka Beach City,Hennepin,Minnetonka Beach City,614,155,69.75,202,50.85986,150912,0.92,58,50,53,45,106,45,9,0.1058824,1.177778,0.4108527,0.2071696,0.3801839,0.6198161,0.026768,=X109*1000,14210846,10808760,12500,1.31,0.23,0.12,0,0,10979.99,0,10980,4,3,0,0,0,51,0,0,2,0,0,0,0,10808,0,0,172,0,32040,7,32040,84,6765,279,24.24731,25.41949,25.41949,25.41949,453727.7,4976288,50.67778,3.971698,0.1241155,12.75973,117550.7,53414.73,38673.04,201900000,801600000,103200000,390200000,32646126,211000000,217518,863841,197858,748303,112186,723563,3,402,478480,4980091,816,492625,4977029,25042.76,38904.37,25.04276,38.90437,=(BF109*D109)/N109
Minnetonka City,Hennepin,Minnetonka City,51301,708,381.3195,51311,708.3592,69979,0.87,3103,2581,2722,2200,5444,2200,523,0.1189989,1.237273,0.4127995,0.1905039,0.2476637,0.7523363,0.000563,=X110*1000,75272509,56328669,12450,1.34,0.44,0.66,4.57,32468.7,486083,23703,518552,72,7,66,0,31,2555,0,63,7,0,23703,0,8765,465381,0,16224,4478,0,1916089,292,1911636,60,573990,27455,20.90657,25.80079,25.80079,25.80079,463716.4,4975515,979.1098,72.43642,0.0980195,13.51682,537042.4,287411.5,537147.1,49640000000,112100000000,17520000000,35910000000,42150000000,76200000000,940175,2122604,586980,1203232,853624,1543429,3,402,478480,4980091,816,492625,4977029,15456.47,28948.18,15.45647,28.94818,=(BF110*D110)/N110
Minnetrista City,Hennepin,Minnetrista City,4358,54,26.35,362,4.516583,90347,0.83,422,398,330,306,660,306,25,0.0411862,1.078431,0.3618421,0.437942,0.5374276,0.4625724,0.003536,=X111*1000,50053771,28584059,6961,1.75,0.42,0.47,0,8386.4,136134.5,0,144521,80,2,0,0,25,304,1,0,0,0,0,0,8386,133035,3100,0,0,0,149746,73,149158,55,63350,2108,30.05218,26.5283,26.5283,26.5283,443923.3,4976047,455.0864,80.14908,0.4714651,5.677999,25384.54,12278.71,2108.583,1978000000,7758000000,655200000,3124000000,156800000,1030000000,173725,681262,100930,481152,80569,531000,3,402,478480,4980091,816,492625,4977029,34792.54,48711.62,34.79254,48.71162,=(BF111*D111)/N111
Mound City,Hennepin,Mound City,9435,719,421.2308,1723,131.3316,60671,0.88,750,606,650,506,1300,506,145,0.1439921,1.284585,0.4298942,0.1235676,0.2529252,0.7470748,0.002544,=X112*1000,35475952,23698354,12500,1.5,0,0,0,0,80318.94,0,80319,13,6,0,0,0,650,0,0,0,0,0,0,0,80319,0,0,0,0,75808,49,73133,12,163845,5476,29.92056,26.2409,26.2409,26.2409,447991.2,4975693,254.1096,13.11946,0.0548932,19.3689,449509.9,260892,82088.55,224200000,868200000,75989346,354700000,43145970,291000000,182442,706440,111501,520498,88053,594708,3,402,478480,4980091,816,492625,4977029,30804.49,44653.85,30.80449,44.65385,=(BF112*D112)/N112
Mounds View City,Ramsey,Mounds View City,12738,1196,642.6364,4169,391.4328,51974,0.88,542,369,500,327,1000,327,174,0.2681048,1.529052,0.5128205,0.2022159,0.0712143,0.9287857,0.00469,=X113*1000,30069565,22547034,12500,1.33,0.59,0.67,3.59,8080.31,93027.65,3628,101108,11,9,14,18,0,454,0,14,0,0,3628,4453,0,90022,0,3006,0,0,231947,49,212662,27,159375,7069,22.54562,27.06653,27.06653,27.06653,483661.5,4994867,201.203,10.65061,0.0557624,18.89121,1002084,556110.1,327970.4,14680000000,27650000000,4858000000,8529000000,4085000000,7280000000,1142939,2152555,673065,1181747,809031,1440909,3,402,478480,4980091,816,492625,4977029,15658.17,19963.43,15.65816,19.96343,=(BF113*D113)/N113
New Brighton City,Anoka/Ramsey,New Brighton City,22206,1212,676.6111,10831,590.9224,52856,0.86,1080,806,947,673,1894,673,275,0.2050708,1.407132,0.4704421,0.1706686,0.1426494,0.8573506,0.002094,=X114*1000,43317073,30499562,12500,1.42,0.33,0.51,5.56,8982.42,152640.8,8982,161623,18,9,28,0,0,901,0,18,0,0,8982,0,0,147344,0,5297,0,0,608745,80,609635,44,241495,12179,19.8288,27.54412,27.54412,27.54412,483780.7,4990285,346.0994,18.32897,0.0531275,18.88264,926929.1,508379.2,452110.6,31570000000,53700000000,9794000000,16300000000,9375000000,16300000000,1363193,2319175,759437,1263857,915621,1596119,3,402,478480,4980091,816,492625,4977029,11489.35,15935.17,11.48935,15.93517,=(BF114*D114)/N114
New Germany City,Carver,New Germany City,346,220,79.5,51,32.42043,36094,0.79,58,58,37,37,74,37,1,0.0144928,1,0.352381,0.1895174,0.689553,0.310447,0.027778,=X115*1000,6288519,4955208,8810,1.27,0.3,0.23,0,0,7012.14,0,7012,2,4,0,0,0,35,0,0,2,0,0,0,0,6748,0,0,264,0,3496,3,3876,18,4340,159,27.2956,28.60559,28.60559,28.60559,423298.8,4970509,25.22215,1.573082,0.0715037,16.03359,227321.9,104462.9,33506.98,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,56006.92,69632.08,56.00692,69.63208,=(BF115*D115)/N115
New Hope City,Hennepin,New Hope City,20873,1575,836.6923,13341,1006.516,46795,0.86,911,708,768,565,1536,565,204,0.1813333,1.359292,0.4547069,0.1728534,0.1263804,0.8736196,0.00241,=X116*1000,39098067,30759179,12450,1.27,0.33,0.49,4.91,6511.56,126239.8,6512,132751,13,10,19,0,0,732,0,16,1,0,6512,0,0,121976,0,4142,122,0,195634,71,190643,15,234760,10877,21.58316,25.92178,25.92178,25.92178,469539.4,4987179,265.1267,13.25463,0.0465075,20.00258,1332213,694221.1,851485.2,11840000000,25300000000,4056000000,7815000000,5143000000,9770000000,996005,2128080,633616,1220900,767917,1458803,3,402,478480,4980091,816,492625,4977029,11409.36,25218.36,11.40936,25.21836,=(BF116*D116)/N116
New Market City,,New Market City,332,215,96.5,90,58.25575,53250,0.92,63,56,50,43,100,43,8,0.0987654,1.162791,0.4065041,0.1834044,0.5723824,0.4276176,0.027685,=X117*1000,15668649,9942691,12500,1.58,0,0,0,0,9170.22,0,9170,2,6,0,0,0,50,0,0,0,0,0,0,0,9170,0,0,0,0,4445,3,4445,22,5130,193,26.58031,26.04857,26.04857,26.04857,472321,4935501,24.16769,1.544912,0.0735672,15.64341,119435.8,69431.05,32377.18,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,45013.34,46225.82,45.01334,46.22581,=(BF117*D117)/N117
New Market Township,Scott,New Market Township,3057,35,17.44828,283,3.252799,82718,0.85,323,293,252,222,504,222,31,0.070615,1.135135,0.3818182,0.6216823,0.3783973,0.6216027,0.005136,=X118*1000,96247658,64765787,12500,1.49,0.38,0.42,6.21,9734.62,146929.3,9735,156664,87,2,9,0,0,238,0,4,1,0,9735,0,0,145433,0,1213,283,0,0,0,293261,154,42195,1518,27.79644,28.6372,28.6372,28.6372,473051.7,4937316,361.686,87.00198,0.8969277,4.157216,26541.53,13179.6,2457.067,466400000,2238000000,184300000,834900000,22733250,173000000,120800,579665,85053,385246,44575,338518,3,402,478480,4980091,816,492625,4977029,43118.55,44275,43.11855,44.275,=(BF118*D118)/N118
New Prague City,Scott,New Prague City,3157,683,266.6,2208,477.4305,40091,0.86,289,218,241,170,482,170,72,0.2149254,1.417647,0.4781746,0.1542713,0.1863534,0.8136466,0.008388,=X119*1000,18629283,14013746,12500,1.33,0.38,0.37,0,2686.35,34493.03,0,37179,5,8,0,0,18,223,0,0,0,0,0,0,2686,34493,0,0,0,0,30027,18,22398,11,32135,1333,24.10728,27.58185,27.58185,27.58185,454453.3,4933336,82.90588,4.624515,0.0508188,17.92747,597773,252401.5,418081.3,129000000,611400000,30567057,165100000,20583640,152000000,41757,197932,22080,119233,9020,66609,3,402,478480,4980091,816,492625,4977029,52567.2,58018.56,52.5672,58.01856,=(BF119*D119)/N119
New Scandia Township,Washington,New Scandia Township,3692,36,17.98058,275,2.674621,68036,0.87,336,301,279,244,558,244,36,0.0745342,1.143443,0.3842975,0.6035019,0.3139039,0.6860961,0.004706,=X120*1000,85748714,62085849,12104,1.38,0.44,0.5,0,18281.26,150095.8,0,168377,103,2,0,0,25,254,0,0,0,0,0,0,18281,150096,0,0,0,0,0,0,115127,50,60630,1852,32.73758,27.62983,27.62983,27.62983,513490,5011173,425.9487,102.8183,1.082298,4.142733,29232.45,14663.73,2177.39,169800000,839100000,53640191,288900000,2699600,23400000,45990,227264,26955,145167,9925,85856,3,402,478480,4980091,816,492625,4977029,46816.54,40014.49,46.81654,40.01449,=(BF120*D120)/N120
New Trier City,Dakota,New Trier City,116,251,,0,0,59583,0.8,25,22,19,16,38,16,4,0.1481481,1.1875,0.452381,0.150295,0.51003,0.48997,0.079167,=X121*1000,4667400,3893555,12500,1.2,0,0,0,0,2855.61,0,2856,0,6,0,0,0,19,0,0,0,0,0,0,0,2856,0,0,0,0,2920,2,2919,40,1575,62,25.40322,33.66059,33.66059,33.66059,505335.5,4938975,8.534893,0.4625976,0.0385498,18.44993,402187.2,214962.1,0,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,49109.52,40120.63,49.10952,40.12062,=(BF121*D121)/N121
Newport City,Washington,Newport City,3715,372,201,2262,226.7015,45373,0.84,370,274,341,245,682,245,97,0.2,1.391837,0.467764,0.1810163,0.2823738,0.7176262,0.005704,=X122*1000,28182754,20469282,12000,1.38,0.69,0.87,9.33,6630.67,55095.88,5759,61727,10,6,22,4,0,301,0,13,1,0,5759,872,0,51595,0,3332,169,0,296878,31,272331,118,42815,2010,21.30099,28.35294,28.35294,28.35294,500197.9,4968985,145.3096,9.97788,0.0717833,14.56318,321175.7,173772,195558.4,2834000000,6942000000,883200000,2129000000,1255000000,3190000000,762162,1866597,434005,1046089,505894,1287614,3,402,478480,4980091,816,492625,4977029,24392.81,11047.82,24.39281,11.04782,=(BF122*D122)/N122
Nininger Township,Dakota,Nininger Township,865,20,11.51163,143,3.292664,72955,0.84,121,107,99,85,198,85,15,0.0909091,1.164706,0.3975904,0.6138306,0.2934821,0.7065179,0.013866,=X123*1000,61713220,44135368,12350,1.4,0.94,0.74,0,6434.44,54334.78,0,60769,43,1,0,0,7,78,0,0,14,0,0,0,6434,51662,0,0,2673,0,0,0,66293,123,11815,495,23.86869,28.60302,28.60302,28.60302,505464.5,4954809,173.2423,43.42988,0.92404,3.989012,16953.37,9701.639,2802.696,194100000,1054000000,62403646,331200000,7628685,75400000,142705,774674,81294,431479,46234,456855,3,402,478480,4980091,816,492625,4977029,36977.62,25662.85,36.97762,25.66285,=(BF123*D123)/N123
North Oaks City,Ramsey,North Oaks City,3883,174,74.86364,1056,47.34488,149158,0.87,436,382,381,327,762,327,55,0.0847458,1.165138,0.3907692,0.2364106,0.3206349,0.6793652,0.003574,=X124*1000,35741722,24293195,11106,1.47,0.03,0.02,0,0,90072.43,0,90072,22,4,0,0,0,380,0,0,1,0,0,0,0,89939,0,0,134,0,60142,43,66434,28,39580,1647,24.03157,24.49381,24.49381,24.49381,493058.3,4994088,210.7744,22.30442,0.1939514,9.449895,98151.07,41631.42,26692.64,2681000000,7673000000,719300000,1997000000,560800000,1540000000,653394,1870068,377274,1047517,412347,1130558,3,402,478480,4980091,816,492625,4977029,20209.98,17064.5,20.20998,17.0645,=(BF124*D124)/N124
North St Paul City,Ramsey,North St. Paul City,11929,1529,769.25,3496,448.1474,50923,0.85,668,436,618,386,1236,386,233,0.303781,1.601036,0.5364583,0.1546426,0.0694272,0.9305728,0.004159,=X125*1000,23637455,18064782,12500,1.31,0.25,0.39,0,2658.94,92910.16,0,95569,8,12,0,0,10,597,0,0,11,0,0,0,2659,89852,0,0,3058,0,184645,53,178652,24,132490,6154,21.52909,27.50716,27.50716,27.50716,500039.3,4984471,185.9601,7.801005,0.0329156,23.83796,1374665,709169.8,402869.3,10820000000,24410000000,3141000000,7160000000,3072000000,6690000000,855437,1929341,477730,1089034,589060,1282321,3,402,478480,4980091,816,492625,4977029,21999.67,10504.97,21.99967,10.50497,=(BF125*D125)/N125
Northfield City,Dakota,Northfield City,557,634,290,73,83.10167,75580,0.89,64,63,54,53,108,53,2,0.019802,1.018868,0.3529412,0.1263701,0.5681862,0.4318138,0.019594,=X126*1000,9142775,5189906,10850,1.76,0,0,0,0,6823.98,0,6824,1,8,0,0,0,54,0,0,0,0,0,0,0,6824,0,0,0,0,5175,4,3760,11,6915,290,23.84483,25.11492,25.11492,25.11492,486856.2,4924529,19.16456,0.8783147,0.0516656,21.8197,262153.8,136489.4,34357.68,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,56189.82,52816,56.18982,52.81599,=(BF126*D126)/N126
Norwood Young America City,Carver,Norwood Young America City,3108,736,387.75,1531,362.7308,46152,0.84,265,208,223,166,446,166,58,0.17737,1.343374,0.453252,0.1665404,0.2459302,0.7540699,0.008142,=X127*1000,19674322,15009452,12500,1.31,0.35,0.48,0,2775.46,34363.04,0,37139,4,9,0,6,4,212,0,0,1,0,0,1714,1062,34271,0,0,92,0,19181,20,25352,13,38540,1551,24.84848,28.3597,28.3597,28.3597,426902.7,4958251,92.3709,4.220761,0.0449017,21.88489,701150.3,349898.3,345386.4,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,56010.92,68352.4,56.01092,68.3524,=(BF127*D127)/N127
Oak Grove City,Anoka,Oak Grove City,6903,76,40.97802,361,3.959663,70169,0.87,794,685,625,516,1250,516,110,0.1071081,1.21124,0.4053178,0.3570831,0.280422,0.719578,0.002352,=X128*1000,92188833,61976214,12500,1.49,0.11,0.1,0,2380.37,220796.6,0,223177,91,2,0,0,7,617,0,0,1,0,0,0,2380,220484,0,0,313,0,163507,116,163154,38,145910,3729,39.12845,26.90428,26.90428,26.90428,474423.4,5020878,585.1468,91.16937,0.4051972,6.418238,50386.31,27218.68,2635.008,1013000000,2720000000,349200000,1049000000,14937174,60200000,145054,389473,88412,265667,41608,167695,3,402,478480,4980091,816,492625,4977029,40987.73,47476.18,40.98774,47.47618,=(BF128*D128)/N128
Oak Park Heights City,Washington,Oak Park Heights City,3957,451,193.3333,2700,307.5496,48425,0.85,361,307,273,219,546,219,55,0.1270208,1.246575,0.4193548,0.2009094,0.289979,0.710021,0.005718,=X129*1000,28190493,20689355,11104,1.36,0.55,0.79,0,8554.15,46294.13,0,54848,9,6,0,0,22,246,0,4,1,0,0,0,8554,45062,0,1084,148,0,69170,23,89405,36,37090,1740,21.31609,27.27512,27.27512,27.27512,514993.8,4986572,123.6972,8.779072,0.0798097,14.09001,367389.8,161551.2,250682.9,298400000,1262000000,63800713,262600000,122800000,546000000,212233,897495,118312,487041,115451,513493,3,402,478480,4980091,816,492625,4977029,37084.41,24319.16,37.08441,24.31916,=(BF129*D129)/N129
Oakdale City,Washington,Oakdale City,26653,911,490.7931,7637,261.0965,56299,0.9,1504,1155,1314,965,2628,965,350,0.1818182,1.361658,0.4548286,0.1706872,0.146115,0.853885,0.001413,=X130*1000,58079973,45173810,12450,1.29,0.42,0.74,5.57,17548.96,206734,12483,224283,29,8,26,0,17,1240,5,24,2,0,12483,0,5066,197858,1830,6747,299,0,700017,143,679692,41,316065,14233,22.20649,26.85681,26.85681,26.85681,502830.5,4981586,393.2722,29.24973,0.0937491,13.44533,808800.6,431908.5,231749.1,20260000000,49290000000,5934000000,14910000000,3561000000,9700000000,751420,1828676,404542,1016593,456715,1244595,3,402,478480,4980091,816,492625,4977029,24396.35,11176.52,24.39635,11.17652,=(BF130*D130)/N130
Orono City,Hennepin,Orono City,7538,121,59.09678,1098,17.66729,88314,0.88,804,726,674,596,1348,596,79,0.0665543,1.130872,0.3782267,0.260321,0.4040596,0.5959404,0.001901,=X131*1000,61806475,38654186,10119,1.6,0.33,0.6,0,6917.93,168538.4,0,175456,62,3,0,9,0,644,15,0,6,0,0,6918,0,157506,10273,0,759,0,277802,79,361504,77,93415,3664,25.49536,26.95376,26.95376,26.95376,453411.3,4979314,570.101,62.14874,0.2078553,9.17317,70109.27,34078.05,10212.25,3590000000,12900000000,1325000000,4335000000,1416000000,4640000000,332891,1196582,236527,773681,310763,1018492,3,402,478480,4980091,816,492625,4977029,25080.74,39280.18,25.08074,39.28017,=(BF131*D131)/N131
Osseo City,Hennepin,Osseo City,2434,1274,624.5,2289,1198.053,42685,0.88,227,146,207,126,414,126,82,0.3319838,1.642857,0.5564516,0.1312079,0.0997496,0.9002504,0.013143,=X132*1000,10220168,8022814,12054,1.27,0.29,0.62,0,1903.69,25256.35,0,27160,2,14,0,2,0,198,0,7,0,0,0,1904,0,24082,0,1174,0,0,68558,16,68310,45,30540,1249,24.45156,26.66815,26.66815,26.66815,468590.2,4996112,59.29855,1.910599,0.0189168,31.03662,1135695,582778.6,1068039,1894000000,4078000000,579600000,1186000000,451600000,993000000,899246,1936592,522176,1068455,602922,1325644,3,402,478480,4980091,816,492625,4977029,18827.24,30688.99,18.82724,30.68899,=(BF132*D132)/N132
Pine Springs City,Washington,Pine Springs City,421,180,109,24,10.25933,102496,0.87,71,69,60,58,120,58,3,0.027027,1.034483,0.3571429,0.2234359,0.8068448,0.1931552,0.018149,=X133*1000,15507046,9666730,11147,1.6,1.66,1.43,4,1961.81,11444.34,536,13406,2,6,5,0,8,36,0,10,1,0,536,0,1426,8941,0,2377,126,0,76728,7,76728,293,5035,218,23.09633,29.77142,29.77142,29.77142,503591.2,4987043,25.85634,2.339334,0.1063334,11.05287,126089.2,65290.84,7187.982,1657000000,4459000000,469500000,1257000000,37457835,110000000,655653,1764631,361131,967111,394293,1161500,3,402,478480,4980091,816,492625,4977029,26055.78,14850.53,26.05578,14.85053,=(BF133*D133)/N133
Plymouth City,Hennepin,Plymouth City,65894,721,386.3626,53206,582.2622,77008,0.88,3619,3052,3095,2528,6190,2528,568,0.112453,1.224288,0.4084191,0.1827467,0.2250876,0.7749124,0.000484,=X134*1000,80719642,60543184,12500,1.33,0.35,0.59,3.44,31489.36,534111.7,19447,565601,91,6,43,0,30,2950,0,67,5,0,19447,0,12042,515530,0,15879,2702,0,2128539,329,2127422,52,809645,35159,23.0281,26.25863,26.25863,26.25863,463625.3,4985553,1117.448,91.37807,0.1216752,12.22884,568994.1,303597.6,459433.3,51810000000,127300000000,19330000000,41750000000,40250000000,82600000000,784348,1927836,520372,1123773,718821,1475160,3,402,478480,4980091,816,492625,4977029,15827.07,30226.52,15.82707,30.22651,=(BF134*D134)/N134
Prior Lake City,Scott,Prior Lake City,15917,390,201.2927,7989,195.634,75363,0.89,1144,989,910,755,1820,755,156,0.1036545,1.205298,0.4028331,0.1947312,0.2931281,0.7068719,0.001599,=X135*1000,62450123,41504002,12350,1.5,0.18,0.31,0,9692.25,167513.2,0,177205,41,4,0,0,25,885,0,0,0,0,0,0,9692,167513,0,0,0,0,268637,99,247163,25,198045,8253,23.99673,26.0464,26.0464,26.0464,465513.2,4952976,476.6534,40.83646,0.1356693,11.67225,237579.8,123185.7,119245.2,4879000000,14360000000,1888000000,5757000000,870200000,4250000000,311930,918055,221119,674146,108665,530698,3,402,478480,4980091,816,492625,4977029,30056.44,36243.94,30.05644,36.24394,=(BF135*D135)/N135
